gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 903,    0.648, 0.569354
 904,    0.648, 0.570373
 905,    0.648, 0.577412
 906,    0.648, 0.575629
 907,   0.6508, 0.581367
 908,   0.6508, 0.581885
 909,   0.6508, 0.580579
 910,   0.6508, 0.576732
 911,   0.6508, 0.584782
 912,   0.6508, 0.582888
 913,   0.6508, 0.577102
 914,   0.6508, 0.578125
 915,   0.6508, 0.578349
 916,   0.6517, 0.577467
 917,   0.6517, 0.579093
 918,   0.6517, 0.574165
 919,   0.6517, 0.579511
 920,   0.6517, 0.576095
 921,   0.6527, 0.578053
 922,   0.6527, 0.576249
 923,   0.6527, 0.579782
 924,   0.6527, 0.573516
 925,   0.6527, 0.575191
 926,   0.6527, 0.574054
 927,   0.6527, 0.576225
